dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
breast_cancer,provenance_bias_coverage,none,46,0.33,398,131,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9555629802873371,0.9555629802873371,0.0,0.04068149948677818,0.04068149948677818,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,42,0.33,398,131,0.9707602262496948,0.9473684430122375,0.9473684430122375,0.0,0.9424479264051457,0.9424479264051457,0.0,0.016039647902661602,0.016039647902661602,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,43,0.33,398,131,0.9473684430122375,0.9415204524993896,0.9415204524993896,0.0,0.9353056900726393,0.9353056900726393,0.0,0.04180486334694758,0.04180486334694758,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,44,0.33,398,131,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0.9688830658368818,0.9688830658368818,0.0,0.03116458584690652,0.03116458584690652,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,45,0.33,398,131,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.9617734724292102,0.9617734724292102,0.0,0.034630786257180544,0.034630786257180544,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,46,0.33,398,131,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9558709677419355,0.9558709677419355,0.0,0.028758460318135965,0.028758460318135965,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,42,0.33,398,131,0.9707602262496948,0.9356725215911865,0.9356725215911865,0.0,0.9311115180369895,0.9311115180369895,0.0,0.035879926723346375,0.035879926723346375,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,43,0.33,398,131,0.9473684430122375,0.9415204524993896,0.9415204524993896,0.0,0.936741639538325,0.936741639538325,0.0,0.03042778947897122,0.03042778947897122,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,44,0.33,398,131,0.9766082167625427,0.9649122953414917,0.9649122953414917,0.0,0.9627721335268505,0.9627721335268505,0.0,0.04486792512804443,0.04486792512804443,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,45,0.33,398,131,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.9617734724292102,0.9617734724292102,0.0,0.03658249643113879,0.03658249643113879,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,46,0.33,398,131,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.020556338349281,0.020556338349281,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,42,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9682592716338122,0.9682592716338122,0.0,0.03621689792264972,0.03621689792264972,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,0.5,398,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.942866688940862,0.942866688940862,0.0,0.0297901243494268,0.0297901243494268,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,0.5,398,199,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0.981329839502129,0.981329839502129,0.0,0.04053754450982077,0.04053754450982077,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,0.5,398,199,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9555629802873371,0.9555629802873371,0.0,0.032348211397204465,0.032348211397204465,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,46,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.027196045856029624,0.027196045856029624,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,42,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9682592716338122,0.9682592716338122,0.0,0.04883073331319797,0.04883073331319797,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,43,0.5,398,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.942866688940862,0.942866688940862,0.0,0.027309085890563606,0.027309085890563606,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,44,0.5,398,199,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0.9690676893021237,0.9690676893021237,0.0,0.03506007006293848,0.03506007006293848,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,45,0.5,398,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.030981069071251033,0.030981069071251033,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,46,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9686870536531771,0.9686870536531771,0.0,0.027389865521101946,0.027389865521101946,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,42,0.5,398,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.9617734724292102,0.9617734724292102,0.0,0.03609187073177761,0.03609187073177761,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,43,0.5,398,199,0.9473684430122375,0.9532163739204407,0.9532163739204407,0.0,0.9490312965722802,0.9490312965722802,0.0,0.03151582521304752,0.03151582521304752,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,44,0.5,398,199,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0.9686870536531771,0.9686870536531771,0.0,0.029357551831250994,0.029357551831250994,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,45,0.5,398,199,0.9707602262496948,0.9532163739204407,0.9532163739204407,0.0,0.9493933116306599,0.9493933116306599,0.0,0.027877355528156667,0.027877355528156667,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,46,0.5,398,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.025879378555810947,0.025879378555810947,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,42,0.75,398,298,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.030279961942929267,0.030279961942929267,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,0.75,398,298,0.9473684430122375,0.9532163739204407,0.9532163739204407,0.0,0.9490312965722802,0.9490312965722802,0.0,0.0233963964975368,0.0233963964975368,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,0.75,398,298,0.9766082167625427,0.9766082167625427,0.9766082167625427,0.0,0.9751814223512336,0.9751814223512336,0.0,0.035823624036465475,0.035823624036465475,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,0.75,398,298,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9558709677419355,0.9558709677419355,0.0,0.043333140381595525,0.043333140381595525,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,46,0.75,398,298,0.9707602262496948,0.9766082167625427,0.9766082167625427,0.0,0.9748677248677249,0.9748677248677249,0.0,0.023058450012876253,0.023058450012876253,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,42,0.75,398,298,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.030306620904576705,0.030306620904576705,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,43,0.75,398,298,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.9424479264051457,0.9424479264051457,0.0,0.018150649921238746,0.018150649921238746,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,44,0.75,398,298,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0.981329839502129,0.981329839502129,0.0,0.0408020409924245,0.0408020409924245,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,45,0.75,398,298,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9561618751144478,0.9561618751144478,0.0,0.04123348067378441,0.04123348067378441,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,46,0.75,398,298,0.9707602262496948,0.9766082167625427,0.9766082167625427,0.0,0.9748677248677249,0.9748677248677249,0.0,0.022981151154166747,0.022981151154166747,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,42,0.75,398,298,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.030231407511303994,0.030231407511303994,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,43,0.75,398,298,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.9424479264051457,0.9424479264051457,0.0,0.029746833949061156,0.029746833949061156,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,44,0.75,398,298,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0.9812122321919063,0.9812122321919063,0.0,0.02853423775288097,0.02853423775288097,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,45,0.75,398,298,0.9707602262496948,0.9532163739204407,0.9532163739204407,0.0,0.9497354497354498,0.9497354497354498,0.0,0.030323580343123782,0.030323580343123782,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,stratified,none,46,0.75,398,298,0.9707602262496948,0.9766082167625427,0.9766082167625427,0.0,0.9748677248677249,0.9748677248677249,0.0,0.016636314796425456,0.016636314796425456,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,42,1.0,398,398,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9682592716338122,0.9682592716338122,0.0,0.027544714554011474,0.027544714554011474,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,1.0,398,398,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.9424479264051457,0.9424479264051457,0.0,0.027058476593062205,0.027058476593062205,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,1.0,398,398,0.9766082167625427,0.9766082167625427,0.9766082167625427,0.0,0.9751814223512336,0.9751814223512336,0.0,0.028887554916024915,0.028887554916024915,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,1.0,398,398,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.0317934883965386,0.0317934883965386,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,46,1.0,398,398,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.020003633540973363,0.020003633540973363,0,0,0,0,0.5,1.0,geometric,True,0.0
